"lb";"up";"alpha";"K";"name";"t"
"164";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.842105263157895
"173";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.894736842105263
"182";-2.38395031952692;2.38395031952692;0.1;19;"PK";0.947368421052632
"191";-2.38395031952692;2.38395031952692;0.1;19;"PK";1
"138";-1.95997899575565;1.95997899575565;0.05;1;"PK";1
"139";-2.17827896829629;2.17827896829629;0.05;2;"PK";0.5
"218";-2.17827896829629;2.17827896829629;0.05;2;"PK";1
"140";-2.28946543948324;2.28946543948324;0.05;3;"PK";0.333333333333333
"219";-2.28946543948324;2.28946543948324;0.05;3;"PK";0.666666666666667
"317";-2.28946543948324;2.28946543948324;0.05;3;"PK";1
"147";-2.36124221618653;2.36124221618653;0.05;4;"PK";0.25
"220";-2.36124221618653;2.36124221618653;0.05;4;"PK";0.5
"318";-2.36124221618653;2.36124221618653;0.05;4;"PK";0.75
"416";-2.36124221618653;2.36124221618653;0.05;4;"PK";1
"148";-2.41311039816322;2.41311039816322;0.05;5;"PK";0.2
"221";-2.41311039816322;2.41311039816322;0.05;5;"PK";0.4
"319";-2.41311039816322;2.41311039816322;0.05;5;"PK";0.6
"417";-2.41311039816322;2.41311039816322;0.05;5;"PK";0.8
"515";-2.41311039816322;2.41311039816322;0.05;5;"PK";1
"149";-2.45319106793197;2.45319106793197;0.05;6;"PK";0.166666666666667
"222";-2.45319106793197;2.45319106793197;0.05;6;"PK";0.333333333333333
"320";-2.45319106793197;2.45319106793197;0.05;6;"PK";0.5
"418";-2.45319106793197;2.45319106793197;0.05;6;"PK";0.666666666666667
"516";-2.45319106793197;2.45319106793197;0.05;6;"PK";0.833333333333333
"614";-2.45319106793197;2.45319106793197;0.05;6;"PK";1
"150";-2.48544918306016;2.48544918306016;0.05;7;"PK";0.142857142857143
"223";-2.48544918306016;2.48544918306016;0.05;7;"PK";0.285714285714286
"321";-2.48544918306016;2.48544918306016;0.05;7;"PK";0.428571428571429
"419";-2.48544918306016;2.48544918306016;0.05;7;"PK";0.571428571428571
"517";-2.48544918306016;2.48544918306016;0.05;7;"PK";0.714285714285714
"615";-2.48544918306016;2.48544918306016;0.05;7;"PK";0.857142857142857
"713";-2.48544918306016;2.48544918306016;0.05;7;"PK";1
"156";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.125
"224";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.25
"322";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.375
"420";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.5
"518";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.625
"616";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.75
"714";-2.51229817101399;2.51229817101399;0.05;8;"PK";0.875
"812";-2.51229817101399;2.51229817101399;0.05;8;"PK";1
"157";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.111111111111111
"225";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.222222222222222
"323";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.333333333333333
"421";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.444444444444444
"519";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.555555555555556
"617";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.666666666666667
"715";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.777777777777778
"813";-2.53515855225467;2.53515855225467;0.05;9;"PK";0.888888888888889
"911";-2.53515855225467;2.53515855225467;0.05;9;"PK";1
"226";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.2
"324";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.3
"422";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.4
"520";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.5
"618";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.6
"716";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.7
"814";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.8
"912";-2.55497948260069;2.55497948260069;0.05;10;"PK";0.9
"1010";-2.55497948260069;2.55497948260069;0.05;10;"PK";1
"159";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.0909090909090909
"227";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.181818181818182
"325";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.272727272727273
"423";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.363636363636364
"521";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.454545454545455
"619";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.545454545454545
"717";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.636363636363636
"815";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.727272727272727
"913";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.818181818181818
"1011";-2.57241543576457;2.57241543576457;0.05;11;"PK";0.909090909090909
"1115";-2.57241543576457;2.57241543576457;0.05;11;"PK";1
